FÁZA,TERMÍN,VR,DOM,NÁZOV,ORIENTÁCIA,PODLAŽIE,IZBY,INTERIÉR M²,EXTERIÉR M²,SPOLU M²,ZVÝHODNENÁ CENA,CENNÍKOVÁ CENA,STAV,POROVNAŤ
UP,2027,,S,S210,J,2.,1,"29,05","4,83","33,88",-,-,P,
Plaza,2029,,T,T42,V,4.,1,"28,74","2,86","31,60",-,-,P,
Plaza,2029,,T,T43,V,4.,1,"28,59","2,86","31,45",-,-,P,
Plaza,2029,,T,T52,V,5.,1,"28,74","2,60","31,34",-,-,P,
Residence,2026,,O,O33,Z,3.,1,"32,86","5,92","38,78",-,-,P,
Residence,2026,,O,O34,SZ,3.,3,"75,98","5,92","81,90",-,-,P,
Residence,2026,,O,O35,SV,3.,4,"93,53","11,83","105,36",-,-,P,
UP,2027,,S,S211,J,2.,1,"29,05","4,83","33,88",-,-,P,
UP,2027,,S,S212,JV,2.,2,"52,61","4,83","57,44",-,-,P,
UP,2027,,S,S213,SV,2.,2,"46,55","4,83","51,38",-,-,P,
Plaza,2029,,T,T53,V,5.,1,"28,59","2,86","31,45",-,-,P,
Plaza,2029,,T,T54,JV,5.,2,"49,71","5,24","54,95",-,-,P,
Plaza,2029,,T,T56,Z,5.,1,"31,29","3,21","34,50",-,-,P,
Residence,2026,,O,O36,V,3.,1,"32,86","5,92","38,78",-,-,P,
Residence,2026,,O,O37,JV,3.,3,"71,20","11,84","83,04",-,-,P,
Residence,2026,,O,O38,J,3.,1,"32,59","5,92","38,51",-,-,P,
UP,2027,,S,S302,S,3.,2,"46,10","4,83","50,93",-,-,P,
UP,2027,,S,S305,J,3.,2,"43,78","4,83","48,61",-,-,P,
UP,2027,,S,S306,J,3.,1,"29,05","4,83","33,88",-,-,P,
Plaza,2029,,T,T62,V,6.,1,"28,74","2,60","31,34",-,-,P,
Plaza,2029,,T,T64,JV,6.,2,"49,71","5,47","55,18",-,-,P,
Plaza,2029,,T,T66,Z,6.,1,"31,29","2,90","34,19",-,-,P,
Residence,2026,,O,O41,J,4.,1,"32,59","5,92","38,51",-,-,P,
Residence,2026,,O,O42,JZ,4.,3,"71,20","19,80","91,00",-,-,P,
Residence,2026,,O,O43,Z,4.,1,"32,84","5,92","38,76",-,-,P,
UP,2027,,S,S307,J,3.,1,"29,06","4,83","33,89",-,-,P,
UP,2027,,S,S308,J,3.,2,"43,78","4,83","48,61",-,-,P,
UP,2027,,S,S309,J,3.,2,"43,78","4,83","48,61",-,-,P,
Plaza,2029,,T,T71,SV,7.,2,"46,08","5,05","51,13",-,-,R,
Plaza,2029,,T,T72,V,7.,1,"28,72","2,86","31,58",-,-,R,
Plaza,2029,,T,T74,JV,7.,2,"49,71","4,79","54,50",-,-,P,
Residence,2026,,O,O44,SZ,4.,3,"76,05","19,80","95,85",-,-,P,
Residence,2026,,O,O45,SV,4.,4,"93,53","19,80","113,33",-,-,P,
Residence,2026,,O,O46,V,4.,1,"32,86","5,59","38,45",-,-,P,
UP,2027,,S,S310,J,3.,1,"29,05","4,83","33,88",-,-,P,
UP,2027,,S,S311,J,3.,1,"29,05","4,83","33,88",-,-,P,
UP,2027,,S,S312,JV,3.,2,"52,61","4,83","57,44",-,-,P,
Plaza,2029,,T,T75,JZ,7.,3,"58,98","5,56","64,54",-,-,R,
Plaza,2029,,T,T76,Z,7.,1,"31,30","3,21","34,51",-,-,P,
Plaza,2029,,T,T83,V,8.,1,"28,48","2,60","31,08",-,-,P,
Residence,2026,,O,O47,JV,4.,3,"71,20","19,80","91,00",-,-,P,
Residence,2026,,O,O48,J,4.,1,"32,59","5,92","38,51",-,-,P,
Residence,2026,,O,O51,J,5.,1,"32,59","5,92","38,51",-,-,P,
UP,2027,,S,S313,SV,3.,2,"46,55","4,83","51,38",-,-,P,
UP,2027,,S,S402,S,4.,2,"46,10","4,83","50,93",-,-,P,
UP,2027,,S,S405,J,4.,2,"43,78","4,83","48,61",-,-,P,
