FÁZA,TERMÍN,VR,DOM,NÁZOV,ORIENTÁCIA,PODLAŽIE,IZBY,INTERIÉR M²,EXTERIÉR M²,SPOLU M²,ZVÝHODNENÁ CENA,CENNÍKOVÁ CENA,STAV,POROVNAŤ
Residence,2026,,R,R75,JZ,7.,3,"72,30","11,79","84,09",-,-,P,
Residence,2026,,R,R76,Z,7.,2,"49,37","5,92","55,29",-,-,P,
Residence,2026,,R,R77,Z,7.,2,"46,97","11,83","58,80",-,-,P,
Residence,2026,,R,R78,SZ,7.,4,"84,51","49,72","134,23",-,-,P,
Residence,2026,,R,R81,SV,8.,3,"80,82","38,68","119,50",-,-,P,
Residence,2026,,R,R82,V,8.,2,"47,41","5,92","53,33",-,-,P,
Residence,2026,,R,R83,JV,8.,3,"73,84","19,80","93,64",-,-,P,
Residence,2026,,R,R85,JZ,8.,3,"72,30","19,80","92,10",-,-,P,
Residence,2026,,R,R86,Z,8.,2,"49,37","11,83","61,20",-,-,P,
Residence,2026,,R,R87,Z,8.,2,"46,97","11,83","58,80",-,-,P,
Residence,2026,,R,R92,V,9.,2,"47,41","11,83","59,24",-,-,P,
Residence,2026,,R,R93,JV,9.,3,"73,84","11,79","85,63",-,-,R,
Residence,2026,,R,R95,JZ,9.,3,"72,30","19,75","92,05",-,-,P,
Residence,2026,,R,R96,Z,9.,2,"49,37","5,92","55,29",-,-,P,
Residence,2026,,R,R97,SZ,9.,4,"89,08","61,70","150,78",-,-,P,
